Study ID	Patient ID	Sample ID	MGMT: Methylation (HM27)
gbm_tcga	TCGA-14-1452	TCGA-14-1452-01	0.0534718069407185
gbm_tcga	TCGA-14-1453	TCGA-14-1453-01	0.0143399237040855
gbm_tcga	TCGA-14-1454	TCGA-14-1454-01	0.0151346611605768
gbm_tcga	TCGA-14-1455	TCGA-14-1455-01	0.188219496512
gbm_tcga	TCGA-14-1456	TCGA-14-1456-01	0.192646452224318
gbm_tcga	TCGA-14-1458	TCGA-14-1458-01	0.570935945795
gbm_tcga	TCGA-14-1459	TCGA-14-1459-01	0.318450869027336
gbm_tcga	TCGA-14-1794	TCGA-14-1794-01	0.0162002772442958
gbm_tcga	TCGA-14-1795	TCGA-14-1795-01	0.250998481188976
gbm_tcga	TCGA-14-1821	TCGA-14-1821-01	0.80551461746095
gbm_tcga	TCGA-14-1823	TCGA-14-1823-01	0.08047220455387
gbm_tcga	TCGA-14-1825	TCGA-14-1825-01	0.017171099254154
gbm_tcga	TCGA-14-1827	TCGA-14-1827-01	0.0313194930991392
gbm_tcga	TCGA-14-1829	TCGA-14-1829-01	0.0265141878621484
gbm_tcga	TCGA-14-2554	TCGA-14-2554-01	0.0498101013125919
gbm_tcga	TCGA-14-2555	TCGA-14-2555-01	0.337056928650641
gbm_tcga	TCGA-14-3476	TCGA-14-3476-01	0.182796356303908
gbm_tcga	TCGA-14-3477	TCGA-14-3477-01	0.0307723179480713
gbm_tcga	TCGA-14-4157	TCGA-14-4157-01	0.242839407200187
gbm_tcga	TCGA-15-1446	TCGA-15-1446-01	0.0476999237317783
gbm_tcga	TCGA-15-1447	TCGA-15-1447-01	0.262395066649948
gbm_tcga	TCGA-15-1449	TCGA-15-1449-01	0.103364261718269
gbm_tcga	TCGA-16-0846	TCGA-16-0846-01	0.201106241324017
gbm_tcga	TCGA-16-0848	TCGA-16-0848-01	0.0942838301923549
gbm_tcga	TCGA-16-0849	TCGA-16-0849-01	0.417392616006771
gbm_tcga	TCGA-16-0850	TCGA-16-0850-01	0.0315146861844311
gbm_tcga	TCGA-16-0861	TCGA-16-0861-01	0.0485524595052578
gbm_tcga	TCGA-16-1045	TCGA-16-1045-01	0.526416515188081
gbm_tcga	TCGA-16-1047	TCGA-16-1047-01	0.0594235083193841
gbm_tcga	TCGA-16-1048	TCGA-16-1048-01	0.030378306585821
gbm_tcga	TCGA-16-1055	TCGA-16-1055-01	0.164379296853201
gbm_tcga	TCGA-16-1056	TCGA-16-1056-01	0.199914834873712
gbm_tcga	TCGA-16-1060	TCGA-16-1060-01	0.104180725124657
gbm_tcga	TCGA-16-1062	TCGA-16-1062-01	0.209367448738198
gbm_tcga	TCGA-16-1063	TCGA-16-1063-01	0.031454935133257
gbm_tcga	TCGA-16-1460	TCGA-16-1460-01	0.0851322853916016
gbm_tcga	TCGA-19-0955	TCGA-19-0955-01	0.0926122630351397
gbm_tcga	TCGA-19-0957	TCGA-19-0957-01	0.0937073997034571
gbm_tcga	TCGA-19-0960	TCGA-19-0960-01	0.626374232550828
gbm_tcga	TCGA-19-0962	TCGA-19-0962-01	0.353307861132038
gbm_tcga	TCGA-19-0963	TCGA-19-0963-01	0.18102101288793
gbm_tcga	TCGA-19-0964	TCGA-19-0964-01	0.835058363260373
gbm_tcga	TCGA-19-1385	TCGA-19-1385-01	0.101189592799287
gbm_tcga	TCGA-19-1386	TCGA-19-1386-01	0.341047913959006
gbm_tcga	TCGA-19-1387	TCGA-19-1387-01	0.305315244315818
gbm_tcga	TCGA-19-1388	TCGA-19-1388-01	0.378631196914316
gbm_tcga	TCGA-19-1389	TCGA-19-1389-01	0.054080986236487
gbm_tcga	TCGA-19-1390	TCGA-19-1390-01	0.435693724113356
gbm_tcga	TCGA-19-1392	TCGA-19-1392-01	0.499373550472816
gbm_tcga	TCGA-19-1786	TCGA-19-1786-01	0.180723694579964
gbm_tcga	TCGA-19-1787	TCGA-19-1787-01	0.165466374683917
gbm_tcga	TCGA-19-1788	TCGA-19-1788-01	0.657470833076448
gbm_tcga	TCGA-19-1789	TCGA-19-1789-01	0.0996628062395934
gbm_tcga	TCGA-19-1790	TCGA-19-1790-01	0.0446892935515781
gbm_tcga	TCGA-19-1791	TCGA-19-1791-01	0.0133941664359066
gbm_tcga	TCGA-19-2619	TCGA-19-2619-01	0.636676041065387
gbm_tcga	TCGA-19-2620	TCGA-19-2620-01	0.240298480456353
gbm_tcga	TCGA-19-2621	TCGA-19-2621-01	0.78690611453412
gbm_tcga	TCGA-19-2623	TCGA-19-2623-01	0.0420060826729879
gbm_tcga	TCGA-19-2624	TCGA-19-2624-01	0.0423085716373827
gbm_tcga	TCGA-19-2625	TCGA-19-2625-01	0.0163727831933243
gbm_tcga	TCGA-19-2629	TCGA-19-2629-01	0.0389547530630031
gbm_tcga	TCGA-19-2631	TCGA-19-2631-01	0.071272418650722
gbm_tcga	TCGA-19-4068	TCGA-19-4068-01	0.0284539296092023
gbm_tcga	TCGA-26-1438	TCGA-26-1438-01	0.0155131180525818
gbm_tcga	TCGA-26-1439	TCGA-26-1439-01	0.0251119895416392
gbm_tcga	TCGA-26-1440	TCGA-26-1440-01	0.025269624063981
gbm_tcga	TCGA-26-1443	TCGA-26-1443-01	0.148151623884517
gbm_tcga	TCGA-26-1799	TCGA-26-1799-01	0.064664684371226
gbm_tcga	TCGA-27-1830	TCGA-27-1830-01	0.203278469941506
gbm_tcga	TCGA-27-1831	TCGA-27-1831-01	0.0382761676052417
gbm_tcga	TCGA-27-1832	TCGA-27-1832-01	0.0155970139418073
gbm_tcga	TCGA-27-1833	TCGA-27-1833-01	0.105444394278457
gbm_tcga	TCGA-27-1834	TCGA-27-1834-01	0.283967651981614
gbm_tcga	TCGA-27-1835	TCGA-27-1835-01	0.623916796701052
gbm_tcga	TCGA-27-1836	TCGA-27-1836-01	0.47673017245858
gbm_tcga	TCGA-27-1837	TCGA-27-1837-01	0.691405324184256
gbm_tcga	TCGA-27-1838	TCGA-27-1838-01	0.0559620353860713
gbm_tcga	TCGA-27-2518	TCGA-27-2518-01	0.14810630776387
gbm_tcga	TCGA-27-2519	TCGA-27-2519-01	0.0262214470274085
gbm_tcga	TCGA-27-2521	TCGA-27-2521-01	0.611523409530822
gbm_tcga	TCGA-27-2523	TCGA-27-2523-01	0.319109702367428
gbm_tcga	TCGA-27-2524	TCGA-27-2524-01	0.0457261503536799
gbm_tcga	TCGA-27-2526	TCGA-27-2526-01	0.119899388496312
gbm_tcga	TCGA-27-2527	TCGA-27-2527-01	0.0819373314322685
gbm_tcga	TCGA-27-2528	TCGA-27-2528-01	0.101868083418843
gbm_tcga	TCGA-28-1745	TCGA-28-1745-01	0.0377091706326109
gbm_tcga	TCGA-28-1746	TCGA-28-1746-01	0.522573729252726
gbm_tcga	TCGA-28-1747	TCGA-28-1747-01	0.0654592430805843
gbm_tcga	TCGA-28-1749	TCGA-28-1749-01	0.0695396698212262
gbm_tcga	TCGA-28-1750	TCGA-28-1750-01	0.0176639500348574
gbm_tcga	TCGA-28-1751	TCGA-28-1751-01	0.240499162624157
gbm_tcga	TCGA-28-1752	TCGA-28-1752-01	0.527796655891193
gbm_tcga	TCGA-28-1753	TCGA-28-1753-01	0.0533880058374989
gbm_tcga	TCGA-28-1755	TCGA-28-1755-01	0.0163752769676222
gbm_tcga	TCGA-28-1756	TCGA-28-1756-01	0.76919676927157
gbm_tcga	TCGA-28-1757	TCGA-28-1757-01	0.282291051080371
gbm_tcga	TCGA-28-1760	TCGA-28-1760-01	0.0268601724278083
gbm_tcga	TCGA-28-2499	TCGA-28-2499-01	0.0280579183132528
gbm_tcga	TCGA-28-2502	TCGA-28-2502-01	0.0959126934165276
gbm_tcga	TCGA-28-2506	TCGA-28-2506-01	0.635568751236806
gbm_tcga	TCGA-28-2509	TCGA-28-2509-01	0.223428761983241
gbm_tcga	TCGA-28-2512	TCGA-28-2512-01	0.0160775543533758
gbm_tcga	TCGA-28-2513	TCGA-28-2513-01	0.0219421454351699
gbm_tcga	TCGA-28-2514	TCGA-28-2514-01	0.0208128793050925
gbm_tcga	TCGA-32-1970	TCGA-32-1970-01	0.0245596518968534
gbm_tcga	TCGA-32-1973	TCGA-32-1973-01	0.607650268940814
gbm_tcga	TCGA-32-1976	TCGA-32-1976-01	0.0743707358002136
gbm_tcga	TCGA-32-1977	TCGA-32-1977-01	0.597821122087416
gbm_tcga	TCGA-32-1978	TCGA-32-1978-01	0.251346981180156
gbm_tcga	TCGA-32-1982	TCGA-32-1982-01	0.105844410424315
gbm_tcga	TCGA-32-1986	TCGA-32-1986-01	0.413100395777197
gbm_tcga	TCGA-32-1987	TCGA-32-1987-01	0.360041481127154
gbm_tcga	TCGA-32-1991	TCGA-32-1991-01	0.0800286844343083
gbm_tcga	TCGA-32-2491	TCGA-32-2491-01	0.0369206020161819
gbm_tcga	TCGA-32-2494	TCGA-32-2494-01	0.138403779772319
gbm_tcga	TCGA-32-2495	TCGA-32-2495-01	0.113054901947979
gbm_tcga	TCGA-32-2615	TCGA-32-2615-01	0.0220863705104436
gbm_tcga	TCGA-32-2616	TCGA-32-2616-01	0.0738727269893655
gbm_tcga	TCGA-32-2632	TCGA-32-2632-01	0.0352920761813303
gbm_tcga	TCGA-32-2634	TCGA-32-2634-01	0.305894829988737
gbm_tcga	TCGA-32-2638	TCGA-32-2638-01	0.186568037890178
gbm_tcga	TCGA-32-4208	TCGA-32-4208-01	0.39468281908299
gbm_tcga	TCGA-32-4209	TCGA-32-4209-01	0.113153737728725
gbm_tcga	TCGA-32-4210	TCGA-32-4210-01	0.0914852863375068
gbm_tcga	TCGA-32-4211	TCGA-32-4211-01	0.0299127738862428
gbm_tcga	TCGA-32-4213	TCGA-32-4213-01	0.0417296332054155
gbm_tcga	TCGA-32-4719	TCGA-32-4719-01	0.121088320416127
gbm_tcga	TCGA-41-2571	TCGA-41-2571-01	0.0335108668018439
gbm_tcga	TCGA-41-2572	TCGA-41-2572-01	0.0425902100912134
gbm_tcga	TCGA-41-2573	TCGA-41-2573-01	0.0766712214120908
gbm_tcga	TCGA-41-2575	TCGA-41-2575-01	0.0237911518512392
gbm_tcga	TCGA-41-3392	TCGA-41-3392-01	0.0527049533372811
gbm_tcga	TCGA-41-3393	TCGA-41-3393-01	0.0521565077397524
gbm_tcga	TCGA-41-3915	TCGA-41-3915-01	0.12026296239327
gbm_tcga	TCGA-41-4097	TCGA-41-4097-01	0.0580472895407093
